horizon,lags,rmse,mae,forecast,actual
2,14,0.0503362027874882,0.04425751667339,"['[""[\'[np.float64(2.427791716473278), np.float64(2.644562428292721)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,15,0.04681242278945,0.0417073646412899,"['[""[\'[np.float64(2.4279629291195484), np.float64(2.6392909115822505)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,16,0.3589972585568215,0.3545774195328748,"['[""[\'[np.float64(2.10909551549603), np.float64(2.1655887568574395)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,17,0.3996250146847617,0.3913845794914732,"['[""[\'[np.float64(2.096864655412043), np.float64(2.1042052970242295)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,18,0.4111103711642293,0.4010945852701268,"['[""[\'[np.float64(2.096612406855264), np.float64(2.085037534023701)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,19,0.4158945316124177,0.4056620646049835,"['[""[\'[np.float64(2.0935386523883577), np.float64(2.078976329820894)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,20,0.4395600680318146,0.4232111068091659,"['[""[\'[np.float64(2.1030685752360667), np.float64(2.0343483225648202)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,21,0.4385935031922373,0.4229918229470304,"['[""[\'[np.float64(2.100462060150341), np.float64(2.037393405374817)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,22,0.4034740431206857,0.3892271854212725,"['[""[\'[np.float64(2.1245571751166046), np.float64(2.080827565460069)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
2,23,0.45712410191446,0.4376862020009784,"['[""[\'[np.float64(2.101710678032483), np.float64(2.0067560293847793)]\']""]']","['[""[\'[np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,1,0.3814100679906258,0.3722477173259335,"['[\'[""[\\\'[np.float64(2.910108683609626), np.float64(2.8971192555777603), np.float64(2.8845812541576614)]\\\']"", \\\'[np.float64(2.910108683609626), np.float64(2.8971192555777603), np.float64(2.8845812541576614)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,2,0.3381749521128307,0.3275462632195201,"['[\'[""[\\\'[np.float64(2.883737511958225), np.float64(2.8510305668974043), np.float64(2.822936752170178)]\\\']"", \\\'[np.float64(2.883737511958225), np.float64(2.8510305668974043), np.float64(2.822936752170178)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,3,0.4047187899944846,0.3953544093965117,"['[\'[""[\\\'[np.float64(2.929324394212315), np.float64(2.925195429333518), np.float64(2.906609446010949)]\\\']"", \\\'[np.float64(2.929324394212315), np.float64(2.925195429333518), np.float64(2.906609446010949)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,4,0.3793302562234451,0.3690781961124028,"['[\'[""[\\\'[np.float64(2.9282352809205925), np.float64(2.896249641118449), np.float64(2.857815707665414)]\\\']"", \\\'[np.float64(2.9282352809205925), np.float64(2.896249641118449), np.float64(2.857815707665414)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,5,0.3667391706853872,0.3551116020808131,"['[\'[""[\\\'[np.float64(2.920702175684814), np.float64(2.885430238544959), np.float64(2.8342684333799135)]\\\']"", \\\'[np.float64(2.920702175684814), np.float64(2.885430238544959), np.float64(2.8342684333799135)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,6,0.3674528388433389,0.3558302758859262,"['[\'[""[\\\'[np.float64(2.9214810288941724), np.float64(2.8862181653895735), np.float64(2.8348576747412797)]\\\']"", \\\'[np.float64(2.9214810288941724), np.float64(2.8862181653895735), np.float64(2.8348576747412797)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,7,0.372175965684671,0.3600603733619383,"['[\'[""[\\\'[np.float64(2.91118289673247), np.float64(2.897630335095176), np.float64(2.846433929625416)]\\\']"", \\\'[np.float64(2.91118289673247), np.float64(2.897630335095176), np.float64(2.846433929625416)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,8,0.3535932534187844,0.342991419303623,"['[\'[""[\\\'[np.float64(2.897514920281622), np.float64(2.869192325193685), np.float64(2.837333053802809)]\\\']"", \\\'[np.float64(2.897514920281622), np.float64(2.869192325193685), np.float64(2.837333053802809)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,9,0.3540696632381897,0.3433449557473424,"['[\'[""[\\\'[np.float64(2.899409395007398), np.float64(2.8698894205617758), np.float64(2.8358020930401007)]\\\']"", \\\'[np.float64(2.899409395007398), np.float64(2.8698894205617758), np.float64(2.8358020930401007)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,10,0.3413039414738288,0.3294498715222199,"['[\'[""[\\\'[np.float64(2.8809101874432836), np.float64(2.8604840298045136), np.float64(2.8220214386861096)]\\\']"", \\\'[np.float64(2.8809101874432836), np.float64(2.8604840298045136), np.float64(2.8220214386861096)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,11,0.2321163107558537,0.2202547925402213,"['[\'[""[\\\'[np.float64(2.8148613694338573), np.float64(2.7157453008258803), np.float64(2.7052237487281734)]\\\']"", \\\'[np.float64(2.8148613694338573), np.float64(2.7157453008258803), np.float64(2.7052237487281734)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,12,0.2587926081918799,0.2519803534929719,"['[\'[""[\\\'[np.float64(2.8038347829478982), np.float64(2.742871739289203), np.float64(2.7843005796090616)]\\\']"", \\\'[np.float64(2.8038347829478982), np.float64(2.742871739289203), np.float64(2.7843005796090616)]\\\']\']']","['[\'[""[\\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
3,13,0.0639075602284787,0.0632429213671663,"['[""[\'[np.float64(2.6463464110056694), np.float64(2.466027720883012), np.float64(2.652420673580065)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,14,0.1156594440460246,0.1080028190239659,"['[""[\'[np.float64(2.649185998058325), np.float64(2.5142614785467297), np.float64(2.73562702183409)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,15,0.1601524244491287,0.1531012596762583,"['[""[\'[np.float64(2.6839755708539146), np.float64(2.566679300446614), np.float64(2.7837149490954936)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,16,0.2833491046752601,0.2309382172066859,"['[""[\'[np.float64(2.5991910552044324), np.float64(2.121153333883184), np.float64(2.1778352511723815)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,17,0.317408430423766,0.2559500018835838,"['[""[\'[np.float64(2.5985804026750783), np.float64(2.107927382187012), np.float64(2.1154151963085055)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,18,0.3929039416568552,0.3298752687326491,"['[""[\'[np.float64(2.5445411301790855), np.float64(2.026522832733088), np.float64(2.014376272257126)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,19,0.3987404508781818,0.3350844761037724,"['[""[\'[np.float64(2.5427791848439623), np.float64(2.0210239048554963), np.float64(2.006009523356471)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,20,0.4394034679137815,0.3705500213208028,"['[""[\'[np.float64(2.5249747834589042), np.float64(2.0039960414797995), np.float64(1.934445152466135)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,21,0.4580875552334587,0.3910200739098541,"['[""[\'[np.float64(2.5097228531919176), np.float64(1.9782306821740434), np.float64(1.9140522842717238)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,22,0.4178856773617396,0.3557081898020595,"['[""[\'[np.float64(2.519921715037678), np.float64(2.0167783982409992), np.float64(1.9712413586823914)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
3,23,0.5119122019973645,0.441646444850804,"['[""[\'[np.float64(2.481187620578337), np.float64(1.934344178125043), np.float64(1.834594908111455)]\']""]']","['[""[\'[np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\']""]']"
4,1,0.3600946459462631,0.3143605379218426,"['[\'[""[\\\'[np.float64(2.960466929352886), np.float64(2.9458319998173637), np.float64(2.9317054463119288), np.float64(2.918069609292178)]\\\', \\\'[np.float64(2.960466929352886), np.float64(2.9458319998173637), np.float64(2.9317054463119288), np.float64(2.918069609292178)]\\\']"", \\\'[np.float64(2.960466929352886), np.float64(2.9458319998173637), np.float64(2.9317054463119288), np.float64(2.918069609292178)]\\\']\']']","['[\'[""[\\\'[np.float64(2.923565791719739), np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\', \\\'[np.float64(2.923565791719739), np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.923565791719739), np.float64(2.591226929948028), np.float64(2.4075134727031213), np.float64(2.5763256387160975)]\\\']\']']"
